initial_age,weight,family_kind,race,marital_status,accumulated_capital,annual_contribution,income,new_accumulated_capital
57,616,2,1,3,-153263.20075894924,0.23,42658.02,-153263.20075894924
45,591,1,1,1,161474.30730573952,0.24,248327.61,161474.30730573952
59,613,1,1,1,14209.331170472313,0.09,24371.94,14209.331170472313
62,656,1,1,1,-77270.8971615558,0.17,48788.04,-77270.8971615558
45,567,2,1,5,282353.1824904715,0.22,47808.66,282353.1824904715
40,300,1,1,1,186133.53589746484,0.12,31875.4,259398.3007055204
35,318,1,1,1,101335.18715003086,0.03,31627.77,127726.02790876041
57,545,1,1,1,-129635.97651341364,0.08,90134.48,-129635.97651341364
44,316,1,1,1,-164230.28973520375,0.29,153383.25,-164230.28973520375
54,538,2,1,5,-100385.68158060308,0.23,30736.38,-95432.39963900272
40,316,1,1,1,-256997.4062920032,0.12,46493.72,-220938.2259578979
61,621,2,1,3,16199.820562777051,0.25,125928.79,16199.820562777051
46,591,1,1,1,43015.849398840575,0.24,81370.26,43015.849398840575
58,613,1,1,1,-177223.18834805524,0.12,61418.26,-176226.90643667663
40,644,3,1,5,16123.378077014168,0.25,45892.81,16123.378077014168
45,644,2,1,5,144259.26616964306,0.18,29561.58,156982.17142214364
48,352,1,1,1,-122897.38481720704,0.17,109107.45,-122897.38481720704
62,619,1,1,1,3663.075987899144,0.03,187001.88,3663.075987899144
44,300,1,1,1,489740.55883946974,0.35,28075.64,564740.5588394697
52,587,1,1,1,68323.38367680064,0.35,39124.78,103323.38367680064
57,561,1,1,1,-39909.54341443597,0.22,63026.22,-37909.54341443597
56,561,1,1,1,15876.285102139278,0.23,123495.81,15876.285102139278
47,308,1,1,1,481647.3761496623,0.12,62843.4,493647.3761496623
42,617,2,1,3,273340.95536635723,0.24,20743.65,303803.5608157932
42,286,1,1,1,32885.36982068384,0.04,58682.2,40668.29140163791
41,346,1,1,1,-92628.20629301402,0.19,173856.79,-92628.20629301402
36,308,1,1,1,-17091.54788181004,0.01,68757.75,-13516.920622008163
49,308,1,1,1,51771.2351944449,0.17,39639.95,101045.23339348854
37,310,1,1,1,99042.6361841256,0.13,79011.7,99042.6361841256
41,288,1,1,1,-48963.55036090561,0.19,91329.38,-48963.55036090561
37,321,1,1,1,200707.69335155596,0.01,47179.61,205284.38175558083
41,339,1,1,1,-170263.2794560638,0.16,18738.56,-116344.55179313997
57,578,1,1,1,103153.5479678066,0.07,7661.9,103894.49797387386
52,331,1,1,1,47346.89854924133,0.34,144416.22,47346.89854924133
62,656,1,1,1,-250673.97571426656,0.22,41928.62,-250673.97571426656
53,621,3,1,1,-192482.046027303,0.1,27982.2,-179810.44538521417
46,660,3,1,3,228424.97414615643,0.02,34971.71,230037.17298534463
36,318,1,1,1,-117105.97405042702,0.04,187300.95,-117105.97405042702
36,562,1,1,1,248088.42173158744,0.14,31657.03,349145.1236800211
53,587,3,1,5,-29999.525192713496,0.12,211309.96,-29999.525192713496
44,647,1,1,1,-145485.470259673,0.16,51887.25,-115485.47025967299
52,551,1,1,1,38423.50199144202,0.32,68751.27,45423.50199144202
61,572,2,1,3,312897.41328443354,0.15,133564.14,312897.41328443354
58,561,1,1,1,115164.68494862856,0.3,42458.79,117164.68494862856
61,591,1,1,1,-288024.5286338032,0.03,53212.75,-288024.5286338032
58,578,3,1,3,-76152.12977154632,0.19,21363.84,-75054.72611221613
59,552,1,1,1,70608.95330695083,0.3,68136.23,70608.95330695083
47,352,1,1,1,-16805.635923251513,0.31,13052.38,25242.431027683426
43,343,2,1,4,-74450.23492616149,0.26,39049.45,-74450.23492616149
58,299,2,1,2,54474.15652553393,0.21,10855.47,56014.93932375211
63,277,2,1,2,13275.353696893955,0.16,30094.21,13275.353696893955
58,614,1,1,1,26081.51110228662,0.32,74806.7,26081.51110228662
57,561,3,1,3,-156766.05452016505,0.15,129884.1,-156766.05452016505
57,561,2,1,5,53907.622742241954,0.33,78668.12,53907.622742241954
36,586,2,1,5,-300932.71179366106,0.08,56216.08,-300932.71179366106
41,345,3,1,3,-155386.19432056436,0.12,88141.94,-155386.19432056436
45,345,2,1,3,-318099.0412904626,0.06,7139.79,-312655.09056161926
56,561,1,1,1,2461.4020875907363,0.15,174692.59,2461.4020875907363
54,323,3,4,2,-231146.0318660896,0.34,24218.73,-221146.0318660896
54,309,2,4,3,-12806.915851703556,0.33,104263.74,-12806.915851703556
49,336,1,1,1,231441.34599615284,0.03,61816.81,234507.54261889265
42,319,1,1,1,130759.59859973984,0.15,157907.15,130759.59859973984
44,339,3,1,3,-304540.0210990801,0.12,94991.87,-304540.0210990801
59,339,2,1,3,90914.20617094856,0.22,376312.67,90914.20617094856
61,591,3,1,3,11859.406414273508,0.06,55895.78,11859.406414273508
52,591,1,1,1,-36269.28292974959,0.3,49733.75,-22269.282929749592
46,308,3,4,5,90987.8405475623,0.17,61559.74,90987.8405475623
39,587,3,1,1,77235.72721445581,0.02,59571.22,77235.72721445581
